category,cluster,score
art,cluster 2,0.08270676691729323
movies_and_television,cluster 12,0.11895910780669144
web_development_and_sites,cluster 56,0.16216216216216217
politics,cluster 20,0.11993243243243243
music_and_entertainment,cluster 1,0.10903426791277258
technology,cluster 55,0.10723192019950124
educational,cluster 56,0.1288135593220339
religion,cluster 4,0.2548262548262548
travel,cluster 15,0.14
sports,cluster 5,0.08040201005025126
the_environment,cluster 9,0.2653061224489796
school_and_education,cluster 9,0.18867924528301888
health,cluster 19,0.08045977011494253
citizen_journalism,cluster 11,0.13740458015267176
personal_or_auto-biographical,cluster 25,0.17647058823529413
food_and_drink,cluster 40,0.10256410256410256
conferences_and_other_events,cluster 38,0.1095890410958904
gaming,cluster 8,0.07272727272727272
literature,cluster 17,0.2289156626506024
business,cluster 14,0.2235294117647059
the_mainstream_media,cluster 37,0.16091954022988506
autos_and_vehicles,cluster 30,0.2857142857142857
comedy,cluster 43,0.1958041958041958
default_category,cluster 5,0.05303030303030303
videoblogging,cluster 8,0.07024793388429752
documentary,cluster 24,0.06481481481481481
