category,cluster,score
art,cluster 10,0.2609964561184073
movies_and_television,cluster 10,0.21228131971351416
web_development_and_sites,cluster 18,0.11879699248120301
politics,cluster 14,0.2172891094280491
music_and_entertainment,cluster 10,0.33682936668011293
technology,cluster 13,0.15301519468186134
educational,cluster 13,0.1017825311942959
religion,cluster 12,0.3276650210276102
travel,cluster 10,0.22641509433962265
sports,cluster 10,0.16105176663927692
the_environment,cluster 7,0.3711272247857614
school_and_education,cluster 10,0.21292775665399238
health,cluster 32,0.18775510204081633
citizen_journalism,cluster 13,0.12319373010041636
personal_or_auto-biographical,cluster 10,0.12631578947368421
food_and_drink,cluster 1,0.1262488646684832
conferences_and_other_events,cluster 13,0.15760571114772104
gaming,cluster 10,0.14828137490007995
literature,cluster 27,0.2980392156862745
business,cluster 20,0.08148148148148149
the_mainstream_media,cluster 20,0.15397824842587293
autos_and_vehicles,cluster 32,0.2727272727272727
comedy,cluster 10,0.22879616963064295
default_category,cluster 10,0.13795791114575215
videoblogging,cluster 10,0.15909958031285767
documentary,cluster 10,0.17524784138151583
