category,cluster,score
art,cluster 13,0.1417910447761194
movies_and_television,cluster 37,0.1213235294117647
web_development_and_sites,cluster 51,0.23684210526315788
politics,cluster 46,0.226890756302521
music_and_entertainment,cluster 40,0.14596273291925466
technology,cluster 36,0.09336609336609336
educational,cluster 51,0.10472972972972973
religion,cluster 19,0.25475285171102663
travel,cluster 17,0.1
sports,cluster 41,0.08040201005025126
the_environment,cluster 6,0.22448979591836735
school_and_education,cluster 23,0.22641509433962265
health,cluster 29,0.2727272727272727
citizen_journalism,cluster 42,0.07633587786259542
personal_or_auto-biographical,cluster 1,0.13725490196078433
food_and_drink,cluster 41,0.19230769230769232
conferences_and_other_events,cluster 36,0.0945945945945946
gaming,cluster 40,0.09090909090909091
literature,cluster 27,0.24096385542168675
business,cluster 36,0.08139534883720931
the_mainstream_media,cluster 16,0.25842696629213485
autos_and_vehicles,cluster 8,0.42857142857142855
comedy,cluster 38,0.1780821917808219
default_category,cluster 40,0.04969879518072289
videoblogging,cluster 26,0.06584362139917696
documentary,cluster 32,0.06422018348623854
