category,cluster,score
art,cluster 0,0.16417910447761194
movies_and_television,cluster 45,0.15073529411764705
web_development_and_sites,cluster 9,0.23684210526315788
politics,cluster 28,0.23697478991596638
music_and_entertainment,cluster 27,0.16459627329192547
technology,cluster 47,0.07616707616707617
educational,cluster 9,0.11148648648648649
religion,cluster 5,0.2585551330798479
travel,cluster 0,0.1
sports,cluster 0,0.07035175879396985
the_environment,cluster 35,0.22448979591836735
school_and_education,cluster 44,0.18867924528301888
health,cluster 22,0.26136363636363635
citizen_journalism,cluster 42,0.09923664122137404
personal_or_auto-biographical,cluster 7,0.17647058823529413
food_and_drink,cluster 19,0.16666666666666666
conferences_and_other_events,cluster 20,0.0945945945945946
gaming,cluster 39,0.13636363636363635
literature,cluster 32,0.3373493975903614
business,cluster 20,0.09302325581395349
the_mainstream_media,cluster 43,0.2247191011235955
autos_and_vehicles,cluster 20,0.5714285714285714
comedy,cluster 0,0.1095890410958904
default_category,cluster 27,0.05120481927710843
videoblogging,cluster 27,0.06584362139917696
documentary,cluster 14,0.06422018348623854
