category,cluster,score
art,cluster 29,0.20149253731343283
movies_and_television,cluster 0,0.1875
web_development_and_sites,cluster 11,0.39473684210526316
politics,cluster 13,0.24873949579831933
music_and_entertainment,cluster 10,0.22981366459627328
technology,cluster 9,0.12776412776412777
educational,cluster 11,0.1858108108108108
religion,cluster 2,0.26996197718631176
travel,cluster 29,0.12
sports,cluster 29,0.11055276381909548
the_environment,cluster 15,0.2857142857142857
school_and_education,cluster 29,0.18867924528301888
health,cluster 9,0.23863636363636365
citizen_journalism,cluster 25,0.1297709923664122
personal_or_auto-biographical,cluster 12,0.21568627450980393
food_and_drink,cluster 23,0.21794871794871795
conferences_and_other_events,cluster 0,0.0945945945945946
gaming,cluster 10,0.13636363636363635
literature,cluster 6,0.4578313253012048
business,cluster 19,0.10465116279069768
the_mainstream_media,cluster 9,0.34831460674157305
autos_and_vehicles,cluster 9,0.5714285714285714
comedy,cluster 0,0.13013698630136986
default_category,cluster 10,0.08132530120481928
videoblogging,cluster 27,0.1111111111111111
documentary,cluster 10,0.09174311926605505
