category,cluster,score
art,cluster 31,0.2462686567164179
movies_and_television,cluster 23,0.15073529411764705
web_development_and_sites,cluster 5,0.2894736842105263
politics,cluster 16,0.24201680672268908
music_and_entertainment,cluster 31,0.2204968944099379
technology,cluster 19,0.09336609336609336
educational,cluster 5,0.10135135135135136
religion,cluster 32,0.2661596958174905
travel,cluster 40,0.14
sports,cluster 31,0.11055276381909548
the_environment,cluster 34,0.2857142857142857
school_and_education,cluster 23,0.20754716981132076
health,cluster 16,0.26136363636363635
citizen_journalism,cluster 4,0.10687022900763359
personal_or_auto-biographical,cluster 14,0.11764705882352941
food_and_drink,cluster 0,0.1794871794871795
conferences_and_other_events,cluster 35,0.12162162162162163
gaming,cluster 42,0.13636363636363635
literature,cluster 18,0.25301204819277107
business,cluster 19,0.11627906976744186
the_mainstream_media,cluster 11,0.1797752808988764
autos_and_vehicles,cluster 11,0.42857142857142855
comedy,cluster 23,0.1506849315068493
default_category,cluster 31,0.07228915662650602
videoblogging,cluster 23,0.09053497942386832
documentary,cluster 31,0.08256880733944955
