category,cluster,score
art,cluster 55,0.06015037593984962
movies_and_television,cluster 57,0.10780669144981413
web_development_and_sites,cluster 31,0.08108108108108109
politics,cluster 26,0.11486486486486487
music_and_entertainment,cluster 14,0.10903426791277258
technology,cluster 56,0.09975062344139651
educational,cluster 34,0.09152542372881356
religion,cluster 29,0.18532818532818532
travel,cluster 21,0.1
sports,cluster 65,0.08040201005025126
the_environment,cluster 56,0.3673469387755102
school_and_education,cluster 34,0.18867924528301888
health,cluster 15,0.10344827586206896
citizen_journalism,cluster 30,0.12213740458015267
personal_or_auto-biographical,cluster 0,0.1568627450980392
food_and_drink,cluster 54,0.08974358974358974
conferences_and_other_events,cluster 63,0.1095890410958904
gaming,cluster 21,0.06363636363636363
literature,cluster 10,0.1927710843373494
business,cluster 56,0.18823529411764706
the_mainstream_media,cluster 56,0.13793103448275862
autos_and_vehicles,cluster 4,0.2857142857142857
comedy,cluster 6,0.23076923076923078
default_category,cluster 65,0.048484848484848485
videoblogging,cluster 21,0.05371900826446281
documentary,cluster 39,0.05555555555555555
