category,cluster,score
art,cluster 4,0.17164179104477612
movies_and_television,cluster 34,0.20588235294117646
web_development_and_sites,cluster 18,0.2894736842105263
politics,cluster 36,0.2453781512605042
music_and_entertainment,cluster 29,0.18322981366459629
technology,cluster 31,0.09828009828009827
educational,cluster 18,0.12162162162162163
religion,cluster 5,0.2623574144486692
travel,cluster 4,0.12
sports,cluster 4,0.09045226130653267
the_environment,cluster 30,0.22448979591836735
school_and_education,cluster 16,0.3018867924528302
health,cluster 19,0.25
citizen_journalism,cluster 24,0.12213740458015267
personal_or_auto-biographical,cluster 8,0.17647058823529413
food_and_drink,cluster 21,0.21794871794871795
conferences_and_other_events,cluster 31,0.0945945945945946
gaming,cluster 6,0.10909090909090909
literature,cluster 10,0.30120481927710846
business,cluster 19,0.08139534883720931
the_mainstream_media,cluster 9,0.19101123595505617
autos_and_vehicles,cluster 31,0.7142857142857143
comedy,cluster 34,0.13013698630136986
default_category,cluster 29,0.061746987951807226
videoblogging,cluster 29,0.07407407407407407
documentary,cluster 23,0.09174311926605505
