category,cluster,score
art,cluster 24,0.1417910447761194
movies_and_television,cluster 13,0.14338235294117646
web_development_and_sites,cluster 53,0.2631578947368421
politics,cluster 56,0.2235294117647059
music_and_entertainment,cluster 12,0.16459627329192547
technology,cluster 32,0.07862407862407862
educational,cluster 53,0.11824324324324324
religion,cluster 26,0.23193916349809887
travel,cluster 8,0.12
sports,cluster 12,0.08542713567839195
the_environment,cluster 27,0.22448979591836735
school_and_education,cluster 55,0.20754716981132076
health,cluster 39,0.25
citizen_journalism,cluster 18,0.07633587786259542
personal_or_auto-biographical,cluster 3,0.09803921568627451
food_and_drink,cluster 59,0.15384615384615385
conferences_and_other_events,cluster 30,0.10810810810810811
gaming,cluster 57,0.09090909090909091
literature,cluster 61,0.21686746987951808
business,cluster 32,0.08139534883720931
the_mainstream_media,cluster 30,0.19101123595505617
autos_and_vehicles,cluster 54,0.42857142857142855
comedy,cluster 13,0.1232876712328767
default_category,cluster 13,0.0391566265060241
videoblogging,cluster 45,0.05761316872427984
documentary,cluster 62,0.06422018348623854
