category,interactions_number_speakers_2,interactions_number_speakers_3,interactions_number_speakers_4,interactions_number_speakers_4+,intervention_short,intervention_long,speakers_type_ponctuel,speakers_type_localise,speakers_type_present,speakers_type_regulier,speakers_type_important,speaker_distribution,mean_number_of_faces,std_number_of_faces,inter_intensity_variation,intra_intensity_variation,number_shot_transition,number_speaker_transition,speech,music,speech_with_music,speech_with_non_music,non_speech_with_music,non_speech_with_non_music,words,duration
art,6.428741503743204,5.583558799339065,4.406027272116619,19.93842297413286,4.153775257409725,12.802303167555552,3.8702679306729975,2.0302847443068837,8.662588204757107,11.581175830465554,26.02760728406508,28.900472795359878,3.6455632056095766,1.76255781541419,34.92703194844965,5.2631621080641136,30.972287467475997,0.7622874999338952,20.15795943020564,17.786224642762768,16.449741976720166,24.327715238594145,49.487071466512035,6.290808719962327,0.32124365912652114,0.25921361024907735
movies_and_television,8.402921526494724,6.863775822716444,4.947109392172824,27.359912244472266,4.272408890237619,10.71079284497965,4.982245667150359,0.9417467460984338,11.962143870186262,17.446511923366653,25.30014059297748,24.295452276471877,3.981569647804964,1.4229600022760123,32.65114856366998,5.154054472164635,27.536868612168153,1.7142239323602535,25.75609154267662,21.411618165324775,18.016021386343848,26.574899389061756,40.02356400474488,11.61893432500944,0.7340823673559786,0.42133677310849477
web_development_and_sites,14.366023756515903,2.849412015281062,3.0329615967684647,38.13233209750603,2.6691738176246687,12.070419032299393,5.16549169504115,0.37674922600619193,4.273569364450136,13.177573650332688,47.54968727535465,46.27487719731164,1.6923698041151602,0.3856463146130329,58.2472513856815,6.4920209528110915,27.24855611493796,4.618613582943493,34.08209315026757,22.177732529481457,16.795544221583963,51.42683522988325,18.57382393659463,5.180505425498292,1.2142770656009156,0.6490985150241313
politics,15.93652969150846,4.710662869085873,2.3963594014836977,30.975960893051315,0.898146582649883,7.806604982033151,15.81308167126412,0.23191100418902277,9.316026638305043,8.202813776863007,28.480904109480953,40.81705514034532,6.18574645861887,2.2430443170503827,33.61257848785888,3.828231835609789,28.308385772533374,0.48830192345780704,26.29362109035686,10.68711411929342,8.965906113299912,48.49993344308675,9.505201255042975,2.700518675490779,1.0211509200959001,0.6975819017548007
music_and_entertainment,7.489118346790624,4.383972986312751,2.5073479470624447,13.230881302943047,6.892919865002497,14.308157519378431,4.271160027433823,2.9726077461201657,8.246232906711134,7.726302695784659,24.886574996106685,35.9778301258721,3.0634503640639683,1.310999395720638,28.94403761347105,4.942000943769062,45.28346429396478,0.5049484849703537,18.57650359863723,22.481941743445525,13.01602009122468,14.321586111763649,65.017953141638,6.9410850551736845,0.49349152268094315,0.4207712088710249
technology,8.810142776872965,5.802597930036199,3.1268761335512676,38.77436247852071,2.4675957702141083,11.478511321365692,4.620002462522846,1.28770481740732,6.168203978887925,12.672451105893886,44.166209013900094,43.11500205574151,3.055825583995169,1.2001446063322958,42.73622295075276,6.079816537469425,18.168393373365426,1.6286761341305596,30.821935270205277,24.73334062169238,16.247067449748503,41.63232940792515,24.87482494357975,8.158119407269279,1.5684053927880588,0.8946842767665648
educational,8.654528614969559,6.654367377213216,4.866132913189169,37.60971115707363,2.5618308373292926,11.081469315983128,5.11857822878996,0.9471746535195311,5.0214485634679935,14.371174427632779,43.770755649114946,44.85788974141932,2.8376516009581696,1.178953268021934,50.315904761801356,4.803005300388728,21.548887296135444,3.0041215105343952,36.77492318814249,24.71682931978561,17.37293937218509,44.700870952888074,21.024619100180594,7.458863147058847,1.5161383612215409,0.9643108878815756
religion,3.98483579286526,4.800707604995951,1.9220290566130924,49.384005358712265,4.000132527443223,4.310495335330476,1.2792283266524878,0.6799349331277086,6.972772489658893,40.084097081964366,16.73439615007258,33.21921456343099,2.973044772296993,0.9611381951969447,36.90344803389711,4.692310366835752,6.302612711039243,7.026828672535121,38.64017689130866,28.26275480109598,20.1998222417604,33.58758140892498,32.08099271608021,6.144429822068256,4.067631308120542,3.2074189879131234
travel,16.991117071875067,4.847162848694699,3.5717370342128962,15.817332136469306,6.7557006470187435,11.2712454482257,13.51358868934135,0.8851835164835166,6.602480889044451,4.050843380833725,32.95661105077036,39.61425047516902,4.389447153412242,2.0232923406479766,36.35997533511984,6.276808713100596,47.08341700621099,0.5809749031271888,21.981417351054056,19.618093013150542,13.06722181995999,31.92259841354061,39.953901876382325,7.975354356524881,0.46867824060496915,0.3251735344968873
sports,7.0842184488829805,7.37721230747409,2.521774246233828,23.035080263743616,4.001431647590715,12.167919826683049,7.657935659020438,0.6262882232339105,7.985997633918273,8.747425962937431,30.38596153063736,36.997070704116425,2.98520249980455,1.519293223405008,38.8277020744579,5.97010046978867,39.327596948550074,0.8380319104222177,22.813944108652365,19.209901932826206,14.88144377769315,29.87424441169689,38.162673968800675,7.251919764553015,0.6384621365399693,0.4917302047284231
the_environment,4.2257588677519955,3.6849563523712052,2.4678823136023946,36.78731617191227,3.6420232844264824,13.241689059950476,3.9310944193345545,1.9932676254346482,2.4729993392372034,5.811524955872216,48.86483147981668,56.22724444310961,4.625272367317178,1.224422831566455,31.84627322336182,1.9709927894134953,19.30031463171811,1.664281139836485,38.95098105924858,30.447003394816754,20.435240205198294,43.95028899245947,21.81088923358888,5.802682305095061,5.416596151162096,2.7416153847784264
school_and_education,10.423202675069605,7.009633668595863,7.47430277203074,27.1321843187229,2.7197535516453093,9.651145463544236,2.4165712652127747,0.09584905660377359,8.41258387171613,16.122536820296304,35.400154125269054,36.58557313140416,3.8897482915569546,1.5845564940200292,48.2930383090169,4.335076598052471,15.914596457590877,2.341356086688803,36.54717282768263,23.188320841542605,16.567427518648216,36.91624342112761,38.995702330472184,5.603084742654698,2.0191015636226854,0.990094492348847
health,3.1597757011543917,2.8371750422730746,3.132524125180376,46.1807052285582,1.5883849808528445,6.046996025260828,3.451635977730238,0.9521303293480711,4.957872656362254,10.142389151601762,42.326858236439584,31.483112373135388,4.3474072905703265,2.4485722070242466,33.16294828075698,5.4810244727174995,43.26332603772763,0.35680666352960305,16.065960325030655,14.000550982308619,13.986764369458468,44.67331102852539,19.6588184254705,4.214271437792903,0.48567961334285054,0.29568540239083624
