category,cluster,score
art,cluster 23,0.09774436090225563
movies_and_television,cluster 11,0.13382899628252787
web_development_and_sites,cluster 7,0.1891891891891892
politics,cluster 20,0.21621621621621623
music_and_entertainment,cluster 22,0.19003115264797507
technology,cluster 7,0.2119700748129676
educational,cluster 7,0.22372881355932203
religion,cluster 7,0.3474903474903475
travel,cluster 22,0.2
sports,cluster 3,0.12060301507537688
the_environment,cluster 7,0.42857142857142855
school_and_education,cluster 7,0.2830188679245283
health,cluster 4,0.13793103448275862
citizen_journalism,cluster 20,0.1984732824427481
personal_or_auto-biographical,cluster 3,0.29411764705882354
food_and_drink,cluster 22,0.10256410256410256
conferences_and_other_events,cluster 7,0.2602739726027397
gaming,cluster 5,0.11818181818181818
literature,cluster 20,0.27710843373493976
business,cluster 7,0.3411764705882353
the_mainstream_media,cluster 0,0.2413793103448276
autos_and_vehicles,cluster 11,0.42857142857142855
comedy,cluster 7,0.26573426573426573
default_category,cluster 7,0.12878787878787878
videoblogging,cluster 3,0.11983471074380166
documentary,cluster 12,0.1111111111111111
