category,cluster,score
art,cluster 13,0.08270676691729323
movies_and_television,cluster 63,0.08921933085501858
web_development_and_sites,cluster 14,0.08108108108108109
politics,cluster 16,0.11486486486486487
music_and_entertainment,cluster 61,0.1059190031152648
technology,cluster 14,0.10723192019950124
educational,cluster 14,0.08813559322033898
religion,cluster 1,0.1891891891891892
travel,cluster 10,0.12
sports,cluster 2,0.08040201005025126
the_environment,cluster 14,0.3877551020408163
school_and_education,cluster 44,0.1509433962264151
health,cluster 38,0.10344827586206896
citizen_journalism,cluster 6,0.09923664122137404
personal_or_auto-biographical,cluster 21,0.13725490196078433
food_and_drink,cluster 30,0.11538461538461539
conferences_and_other_events,cluster 47,0.1095890410958904
gaming,cluster 57,0.06363636363636363
literature,cluster 18,0.21686746987951808
business,cluster 14,0.18823529411764706
the_mainstream_media,cluster 14,0.14942528735632185
autos_and_vehicles,cluster 52,0.2857142857142857
comedy,cluster 50,0.23076923076923078
default_category,cluster 2,0.04393939393939394
videoblogging,cluster 57,0.06198347107438017
documentary,cluster 35,0.07407407407407407
