category,cluster,precision
art,cluster 9,0.8195488721804511
movies_and_television,cluster 9,0.8475836431226765
web_development_and_sites,cluster 9,0.8648648648648649
politics,cluster 9,0.7432432432432432
sports,cluster 9,0.8090452261306532
technology,cluster 9,0.912718204488778
educational,cluster 9,0.8847457627118644
school_and_education,cluster 9,0.9622641509433962
travel,cluster 9,0.7
music_and_entertainment,cluster 9,0.8130841121495327
the_environment,cluster 9,0.7551020408163265
religion,cluster 9,0.9266409266409267
health,cluster 9,0.7816091954022989
citizen_journalism,cluster 9,0.7633587786259542
personal_or_auto-biographical,cluster 9,0.8627450980392157
food_and_drink,cluster 9,0.8076923076923077
conferences_and_other_events,cluster 9,0.9178082191780822
gaming,cluster 9,0.6727272727272727
literature,cluster 9,0.9156626506024096
business,cluster 9,0.7764705882352941
the_mainstream_media,cluster 9,0.9080459770114943
autos_and_vehicles,cluster 9,0.8571428571428571
comedy,cluster 9,0.7622377622377622
default_category,cluster 9,0.8
videoblogging,cluster 9,0.7768595041322314
documentary,cluster 9,0.6851851851851852
