category,cluster,precision
art,cluster 19,0.2537002293099854
autos_and_vehicles,cluster 27,0.29545454545454547
business,cluster 15,0.16049382716049382
citizen_journalism,cluster 27,0.12539799167278962
comedy,cluster 19,0.21135430916552667
conferences_and_other_events,cluster 27,0.16694124107633168
default_category,cluster 19,0.12903784532779078
documentary,cluster 19,0.16597377678285896
educational,cluster 15,0.153475935828877
food_and_drink,cluster 18,0.11080835603996367
gaming,cluster 19,0.12829736211031176
health,cluster 27,0.24807256235827665
literature,cluster 24,0.2235294117647059
movies_and_television,cluster 19,0.2024186920277093
music_and_entertainment,cluster 19,0.31867688584106496
personal_or_auto-biographical,cluster 12,0.11228070175438597
politics,cluster 15,0.2629929485505354
religion,cluster 14,0.2775644541963796
school_and_education,cluster 19,0.18250950570342206
sports,cluster 19,0.14352232265132842
technology,cluster 27,0.17497625830959165
the_environment,cluster 11,0.35860250494396834
the_mainstream_media,cluster 27,0.13623354321694334
travel,cluster 19,0.20911949685534592
videoblogging,cluster 19,0.1373521556657764
web_development_and_sites,cluster 27,0.11428571428571428
