category,cluster,precision
art,cluster 10,0.5037593984962406
autos_and_vehicles,cluster 10,0.8571428571428571
business,cluster 10,0.6352941176470588
citizen_journalism,cluster 10,0.4198473282442748
comedy,cluster 10,0.5454545454545454
conferences_and_other_events,cluster 10,0.726027397260274
default_category,cluster 10,0.5454545454545454
documentary,cluster 10,0.46296296296296297
educational,cluster 10,0.6610169491525424
food_and_drink,cluster 10,0.5512820512820513
gaming,cluster 36,0.43636363636363634
health,cluster 10,0.5517241379310345
literature,cluster 14,0.46987951807228917
movies_and_television,cluster 10,0.5724907063197026
music_and_entertainment,cluster 10,0.5950155763239875
personal_or_auto-biographical,cluster 10,0.7058823529411765
politics,cluster 10,0.5084459459459459
religion,cluster 10,0.8532818532818532
school_and_education,cluster 10,0.8679245283018868
sports,cluster 10,0.5829145728643216
technology,cluster 10,0.7456359102244389
the_environment,cluster 10,0.673469387755102
the_mainstream_media,cluster 10,0.7816091954022989
travel,cluster 10,0.56
videoblogging,cluster 10,0.5661157024793388
web_development_and_sites,cluster 10,0.7297297297297297
