cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,8,16,2,22,10,8,9,1,3,13,1,0,6,20,1,8,3,8,0,5,1,0,6,34,14,10
1,4,15,6,9,18,71,46,10,3,8,20,96,4,4,3,1,18,6,2,27,14,0,36,53,14,4
10,1,1,0,2,2,1,0,0,1,5,0,1,1,0,1,1,0,2,1,0,0,0,4,5,4,2
11,4,8,0,0,8,7,3,1,3,16,1,2,0,0,2,2,0,8,1,0,1,0,5,13,17,5
12,9,10,1,3,5,13,10,1,8,41,1,8,5,1,10,7,6,7,0,1,5,0,1,24,13,5
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
14,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1
15,0,2,1,17,1,11,2,0,0,2,0,1,1,3,0,0,1,0,21,1,3,0,0,24,5,1
16,2,3,1,29,2,6,3,1,0,1,0,1,0,2,1,1,1,0,14,0,0,0,1,23,4,1
17,10,13,0,3,10,2,3,0,1,8,0,0,2,4,0,2,0,5,0,1,1,0,6,13,4,2
18,4,15,0,11,8,2,5,3,4,8,0,2,8,6,2,3,2,8,0,3,2,1,6,22,12,7
19,1,13,1,33,2,16,5,1,0,0,0,4,0,4,0,1,0,1,0,1,3,0,3,8,2,2
2,9,6,1,2,22,26,29,1,4,55,4,47,0,2,15,5,12,3,0,4,4,0,3,64,26,6
20,5,7,1,5,7,1,6,1,4,9,0,0,9,1,1,4,1,5,0,0,0,0,8,14,3,0
21,3,6,0,0,0,0,2,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,6,3,1,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,6,5,0,0,1,0,0,0,2,6,1,0,3,0,2,0,1,3,0,0,1,0,2,10,2,6
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,3,9,0,4,12,5,6,3,0,26,1,4,1,1,2,2,2,5,1,0,1,0,6,27,16,4
27,7,3,0,0,5,0,4,0,1,12,0,1,5,3,0,1,0,4,0,0,0,0,3,8,7,5
28,6,22,2,81,11,19,6,1,3,3,0,1,3,4,0,1,3,2,0,0,5,1,4,30,5,0
29,3,12,0,4,4,4,1,1,2,7,1,2,4,1,1,3,0,5,0,1,0,0,6,12,2,3
3,8,10,2,110,9,37,17,1,1,5,1,6,2,4,2,5,4,4,6,5,16,2,3,36,11,5
30,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,1,1,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,1,2,0
33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
35,3,4,0,0,1,1,0,0,0,6,4,2,0,0,0,1,0,3,0,0,1,0,3,5,1,5
36,1,20,1,24,8,6,7,1,0,2,4,0,5,4,1,3,2,2,0,2,1,2,3,17,6,1
37,4,6,3,5,6,45,37,11,2,4,0,7,3,5,0,2,5,1,0,13,8,0,0,31,8,1
38,1,3,0,2,6,0,0,0,1,8,0,0,2,1,0,3,0,2,0,0,0,0,2,11,1,3
39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,15,2,22,15,10,12,0,5,18,4,1,2,3,1,6,3,6,8,1,3,0,7,23,17,8
5,2,6,5,54,5,30,30,6,1,10,1,9,6,33,3,8,5,3,19,5,2,0,1,53,17,9
6,3,2,1,0,0,0,1,0,0,7,0,1,1,1,1,0,0,3,0,0,0,0,4,4,4,1
7,5,26,2,21,8,12,11,2,1,18,0,1,6,5,0,4,1,3,0,1,3,0,6,27,14,2
8,6,0,1,100,2,21,15,3,0,4,0,2,5,15,1,1,0,2,9,10,2,0,1,31,5,4
9,4,8,3,29,7,45,22,4,0,7,0,59,3,2,1,3,3,2,1,3,10,1,5,25,4,4
