category,cluster,score
art,cluster 20,0.12653741922034606
movies_and_television,cluster 13,0.1199953035106258
web_development_and_sites,cluster 6,0.16842105263157894
politics,cluster 21,0.1421171759380169
music_and_entertainment,cluster 18,0.16478418717224688
technology,cluster 4,0.12725546058879392
educational,cluster 6,0.11746880570409982
religion,cluster 1,0.2770159078442128
travel,cluster 20,0.09433962264150944
sports,cluster 13,0.08545603944124898
the_environment,cluster 4,0.6644693473961767
school_and_education,cluster 20,0.16730038022813687
health,cluster 4,0.17188208616780046
citizen_journalism,cluster 35,0.09747734508939505
personal_or_auto-biographical,cluster 19,0.12280701754385964
food_and_drink,cluster 22,0.10899182561307902
conferences_and_other_events,cluster 35,0.12740252608456892
gaming,cluster 13,0.07114308553157474
literature,cluster 17,0.27450980392156865
business,cluster 4,0.1419753086419753
the_mainstream_media,cluster 26,0.2112192329708071
autos_and_vehicles,cluster 10,0.2727272727272727
comedy,cluster 13,0.13132694938440492
default_category,cluster 18,0.05906296007621027
videoblogging,cluster 4,0.08126669210225104
documentary,cluster 18,0.07355292612727854
