category,cluster,score
art,cluster 9,0.10526315789473684
movies_and_television,cluster 23,0.16356877323420074
web_development_and_sites,cluster 10,0.24324324324324326
politics,cluster 6,0.2179054054054054
music_and_entertainment,cluster 5,0.17133956386292834
technology,cluster 24,0.14713216957605985
educational,cluster 24,0.20677966101694914
religion,cluster 0,0.29343629343629346
travel,cluster 5,0.18
sports,cluster 22,0.12060301507537688
the_environment,cluster 24,0.30612244897959184
school_and_education,cluster 24,0.2830188679245283
health,cluster 26,0.11494252873563218
citizen_journalism,cluster 6,0.1984732824427481
personal_or_auto-biographical,cluster 22,0.2549019607843137
food_and_drink,cluster 5,0.08974358974358974
conferences_and_other_events,cluster 0,0.1643835616438356
gaming,cluster 5,0.1
literature,cluster 6,0.27710843373493976
business,cluster 0,0.24705882352941178
the_mainstream_media,cluster 1,0.19540229885057472
autos_and_vehicles,cluster 4,0.2857142857142857
comedy,cluster 24,0.1888111888111888
default_category,cluster 0,0.09848484848484848
videoblogging,cluster 22,0.1115702479338843
documentary,cluster 5,0.08333333333333333
