category,cluster,score
art,cluster 21,0.21641791044776118
movies_and_television,cluster 16,0.14705882352941177
web_development_and_sites,cluster 20,0.2631578947368421
politics,cluster 2,0.26554621848739496
music_and_entertainment,cluster 21,0.18012422360248448
technology,cluster 8,0.09828009828009827
educational,cluster 20,0.12162162162162163
religion,cluster 19,0.23193916349809887
travel,cluster 16,0.1
sports,cluster 21,0.09045226130653267
the_environment,cluster 48,0.2653061224489796
school_and_education,cluster 16,0.20754716981132076
health,cluster 22,0.29545454545454547
citizen_journalism,cluster 5,0.10687022900763359
personal_or_auto-biographical,cluster 41,0.11764705882352941
food_and_drink,cluster 18,0.1282051282051282
conferences_and_other_events,cluster 45,0.12162162162162163
gaming,cluster 21,0.10909090909090909
literature,cluster 23,0.25301204819277107
business,cluster 14,0.06976744186046512
the_mainstream_media,cluster 8,0.20224719101123595
autos_and_vehicles,cluster 13,0.5714285714285714
comedy,cluster 16,0.15753424657534246
default_category,cluster 16,0.06927710843373494
videoblogging,cluster 16,0.07818930041152264
documentary,cluster 21,0.07339449541284404
