category,cluster,score
art,cluster 37,0.22388059701492538
movies_and_television,cluster 22,0.14705882352941177
web_development_and_sites,cluster 13,0.2631578947368421
politics,cluster 34,0.27899159663865547
music_and_entertainment,cluster 37,0.19875776397515527
technology,cluster 13,0.16707616707616707
educational,cluster 13,0.15878378378378377
religion,cluster 35,0.2509505703422053
travel,cluster 15,0.12
sports,cluster 13,0.09045226130653267
the_environment,cluster 7,0.24489795918367346
school_and_education,cluster 22,0.22641509433962265
health,cluster 34,0.2727272727272727
citizen_journalism,cluster 24,0.1297709923664122
personal_or_auto-biographical,cluster 36,0.09803921568627451
food_and_drink,cluster 1,0.15384615384615385
conferences_and_other_events,cluster 8,0.0945945945945946
gaming,cluster 37,0.11818181818181818
literature,cluster 15,0.26506024096385544
business,cluster 9,0.10465116279069768
the_mainstream_media,cluster 13,0.21348314606741572
autos_and_vehicles,cluster 13,0.7142857142857143
comedy,cluster 22,0.1643835616438356
default_category,cluster 22,0.07078313253012049
videoblogging,cluster 37,0.07818930041152264
documentary,cluster 37,0.07339449541284404
