category,cluster,precision
art,cluster 711,0.03007518796992481
autos_and_vehicles,cluster 1572,0.2857142857142857
business,cluster 588,0.16470588235294117
citizen_journalism,cluster 702,0.05343511450381679
comedy,cluster 1349,0.21678321678321677
conferences_and_other_events,cluster 491,0.0410958904109589
default_category,cluster 491,0.015151515151515152
documentary,cluster 1141,0.018518518518518517
educational,cluster 588,0.04406779661016949
food_and_drink,cluster 1646,0.05128205128205128
gaming,cluster 1943,0.045454545454545456
health,cluster 794,0.05747126436781609
literature,cluster 417,0.10843373493975904
movies_and_television,cluster 1945,0.05204460966542751
music_and_entertainment,cluster 707,0.037383177570093455
personal_or_auto-biographical,cluster 51,0.058823529411764705
politics,cluster 868,0.060810810810810814
religion,cluster 713,0.0888030888030888
school_and_education,cluster 1647,0.07547169811320754
sports,cluster 706,0.05527638190954774
technology,cluster 491,0.04738154613466334
the_environment,cluster 491,0.22448979591836735
the_mainstream_media,cluster 491,0.06896551724137931
travel,cluster 588,0.04
videoblogging,cluster 801,0.01652892561983471
web_development_and_sites,cluster 413,0.05405405405405406
