category,cluster,precision
art,cluster 11,0.30597014925373134
movies_and_television,cluster 22,0.1948529411764706
web_development_and_sites,cluster 21,0.2894736842105263
politics,cluster 10,0.28403361344537814
sports,cluster 11,0.1407035175879397
technology,cluster 21,0.18181818181818182
educational,cluster 21,0.16891891891891891
school_and_education,cluster 22,0.2641509433962264
travel,cluster 11,0.14
music_and_entertainment,cluster 11,0.2795031055900621
the_environment,cluster 6,0.30612244897959184
religion,cluster 28,0.2889733840304182
health,cluster 10,0.2727272727272727
citizen_journalism,cluster 16,0.1297709923664122
personal_or_auto-biographical,cluster 25,0.19607843137254902
food_and_drink,cluster 8,0.16666666666666666
conferences_and_other_events,cluster 21,0.14864864864864866
gaming,cluster 11,0.15454545454545454
literature,cluster 20,0.26506024096385544
business,cluster 24,0.10465116279069768
the_mainstream_media,cluster 21,0.24719101123595505
autos_and_vehicles,cluster 21,0.7142857142857143
comedy,cluster 11,0.1643835616438356
default_category,cluster 11,0.10391566265060241
videoblogging,cluster 11,0.1111111111111111
documentary,cluster 11,0.11009174311926606
