category,cluster,score
art,cluster 14,0.25557640191786535
movies_and_television,cluster 14,0.2059410590583539
web_development_and_sites,cluster 10,0.12330827067669173
politics,cluster 13,0.21698441716723252
music_and_entertainment,cluster 14,0.3227107704719645
technology,cluster 3,0.13698955365622031
educational,cluster 1,0.13529411764705881
religion,cluster 28,0.31852258182483084
travel,cluster 14,0.21069182389937108
sports,cluster 14,0.14763078608600383
the_environment,cluster 30,0.3632168754119974
school_and_education,cluster 14,0.1844106463878327
health,cluster 3,0.21587301587301588
citizen_journalism,cluster 3,0.10188586823414156
personal_or_auto-biographical,cluster 35,0.10877192982456141
food_and_drink,cluster 18,0.10626702997275204
conferences_and_other_events,cluster 3,0.11751784733662822
gaming,cluster 14,0.12949640287769784
literature,cluster 24,0.30980392156862746
business,cluster 15,0.09382716049382717
the_mainstream_media,cluster 15,0.21236405266170577
autos_and_vehicles,cluster 3,0.25
comedy,cluster 14,0.21443228454172367
default_category,cluster 14,0.13163592275049796
videoblogging,cluster 14,0.13887829072872948
documentary,cluster 14,0.1685321394307643
